Timestamp,Are you enrolled in a bachelor's or master's degree at ETH Zurich?,Which semester are you currently in?,What is your field of study?,How old are you?,How many lectures did you successfully complete last semester?,Which device do you use most for studying?,Do you prefer to take notes digitally or on paper?,Do you print your paper on average one-sided or double-sided?,How many pages per one side of a sheet do you print on average?,Do you generally print your papers black-and-white or in colors?,What kind of papers do you prefer to print in color?,What is your primary reason for printing?,Where do you print your papers?,"Are there any factors that influence your decision to print (cost, convenience, environmental concerns)?",If you need to estimate the broad amount of number of sheets of paper you printed in your last semester. what would you guess?
2025-05-19T10:40:12Z,bachelor,,Engineering,24,,laptop,digitally,double-sided,4,black-and-white,"tables, diagrams, cheatsheet for exam",exam preparation,university,environmental concerns,0 - 10
2025-05-19T11:07:40Z,master,,Engineering,25,,laptop,digitally,double-sided,2,black-and-white,"diagrams, cheatsheet for exam",exam preparation,university,convenience,51 - 100
2025-05-19T12:03:40Z,master,,Engineering,26,,tablet,on paper,double-sided,1,colors,"tables, diagrams, cheatsheet for exam, books, lecture slides",exam preparation,"university, copy shop",environmental concerns,51 - 100
2025-05-19T15:30:47Z,master,,Engineering,25,,laptop,on paper,double-sided,1,colors,"tables, diagrams, cheatsheet for exam",exam preparation,university,convenience,11 - 50
2025-05-20T14:11:30Z,bachelor,,Engineering,19,,tablet,digitally,double-sided,4,black-and-white,"cheatsheet for exam, old exams, notes, books, lecture slides, exercises",annotation,university,convenience,> 500
2025-05-21T16:51:51Z,master,,"Business, Finance & Management",26,,tablet,digitally,double-sided,1,black-and-white,cheatsheet for exam,reading comfort,university,cost,51 - 100
2025-05-21T18:23:00Z,master,,Engineering,25,,tablet,digitally,double-sided,1,colors,"diagrams, cheatsheet for exam, notes, lecture slides",exam preparation,"home, university",convenience,0 - 10
2025-05-22T10:12:54Z,bachelor,,Engineering,23,,tablet,digitally,double-sided,1,colors,cheatsheet for exam,exam preparation,university,other,11 - 50
2025-05-22T10:17:07Z,bachelor,,"Agriculture, Environment & Natural Sciences",36,,laptop,digitally,double-sided,1,black-and-white,"cheatsheet for exam, books, lecture slides, other",exam preparation,"home, university",none,51 - 100
2025-05-22T10:20:25Z,bachelor,,Engineering,21,,laptop,digitally,double-sided,1,black-and-white,"tables, diagrams, cheatsheet for exam, notes",exam preparation,"university, copy shop",none,101 - 200
2025-05-22T10:22:00Z,master,,Engineering,25,,laptop,digitally,double-sided,1,black-and-white,cheatsheet for exam,annotation,university,environmental concerns,11 - 50
2025-05-22T10:28:58Z,master,,"Agriculture, Environment & Natural Sciences",26,,laptop,on paper,double-sided,1,black-and-white,"tables, diagrams",other,university,"cost, convenience, environmental concerns",101 - 200
2025-05-22T10:35:19Z,bachelor,,Other,23,,laptop,on paper,one-sided,1,black-and-white,notes,exam preparation,university,convenience,51 - 100
2025-05-22T10:38:42Z,bachelor,,Engineering,21,,laptop,digitally,double-sided,2,black-and-white,"cheatsheet for exam, notes",exam preparation,university,"cost, convenience, environmental concerns",101 - 200
2025-05-22T10:41:29Z,master,,Healthcare & Medicine,26,,laptop,on paper,double-sided,2,black-and-white,"tables, diagrams, cheatsheet for exam",reading comfort,university,"convenience, environmental concerns",201 - 300
2025-05-22T10:44:10Z,master,,"Business, Finance & Management",25,,laptop,digitally,double-sided,1,black-and-white,"tables, cheatsheet for exam",exam preparation,university,convenience,101 - 200
2025-05-22T10:51:51Z,master,,"Business, Finance & Management",24,,laptop,digitally,double-sided,4,black-and-white,"notes, research papers",reading comfort,university,none,301 - 400
2025-05-22T11:17:35Z,bachelor,,Engineering,22,,laptop,on paper,double-sided,1,black-and-white,"cheatsheet for exam, old exams",exam preparation,university,convenience,301 - 400
2025-05-22T11:27:15Z,master,,Architecture,26,,laptop,digitally,one-sided,1,colors,other,other,university,convenience,51 - 100
2025-05-22T11:28:13Z,bachelor,,IT & Computer Science,21,,laptop,digitally,double-sided,1,colors,cheatsheet for exam,exam preparation,university,"cost, convenience",101 - 200
2025-05-22T11:30:48Z,bachelor,,"Agriculture, Environment & Natural Sciences",20,,laptop,digitally,double-sided,2,black-and-white,"tables, diagrams, cheatsheet for exam, old exams, notes, research papers, books, lecture slides, exercises",exam preparation,"university, at work","convenience, environmental concerns",401 - 500
2025-05-22T11:33:32Z,master,,Engineering,25,,tablet,digitally,double-sided,2,black-and-white,cheatsheet for exam,exam preparation,university,cost,11 - 50
2025-05-22T11:48:03Z,master,,"Agriculture, Environment & Natural Sciences",24,,laptop,digitally,double-sided,4,black-and-white,old exams,exam preparation,university,convenience,51 - 100
2025-05-22T11:48:53Z,bachelor,,Engineering,24,,laptop,digitally,one-sided,1,colors,old exams,annotation,home,"cost, convenience",101 - 200
2025-05-22T11:51:18Z,master,,Engineering,25,,tablet,digitally,double-sided,2,colors,cheatsheet for exam,exam preparation,copy shop,other,11 - 50
2025-05-22T11:52:18Z,master,,Other,25,,tablet,digitally,double-sided,4,black-and-white,"cheatsheet for exam, old exams, lecture slides",annotation,university,convenience,201 - 300
2025-05-22T11:53:23Z,bachelor,,Engineering,23,,laptop,on paper,double-sided,1,black-and-white,old exams,exam preparation,university,"none, other",101 - 200
2025-05-22T11:55:03Z,master,,"Sales, Marketing & Customer Service",22,,desktop,digitally,one-sided,1,black-and-white,cheatsheet for exam,exam preparation,"home, university",convenience,51 - 100
2025-05-22T14:57:31Z,master,,"Agriculture, Environment & Natural Sciences",24,,laptop,digitally,double-sided,2,black-and-white,"old exams, notes, research papers",reading comfort,university,environmental concerns,51 - 100
2025-05-23T14:15:06Z,bachelor,,IT & Computer Science,22,,tablet,digitally,double-sided,1,black-and-white,cheatsheet for exam,exam preparation,university,"cost, convenience",11 - 50
